Name,Rating,Link
Sen to Chihiro no kamikakushi,8.6,https://www.imdb.com//title/tt0245429/
Mononoke-hime,8.4,https://www.imdb.com//title/tt0119698/
Hauru no ugoku shiro,8.2,https://www.imdb.com//title/tt0347149/
Tonari no Totoro,8.2,https://www.imdb.com//title/tt0096283/
Hotaru no haka,8.5,https://www.imdb.com//title/tt0095327/
Akira,8,https://www.imdb.com//title/tt0094625/
Kaze no tani no Naushika,8.1,https://www.imdb.com//title/tt0087544/
Tenkû no shiro Rapyuta,8,https://www.imdb.com//title/tt0092067/
Kôkaku Kidôtai,8,https://www.imdb.com//title/tt0113568/
Gake no ue no Ponyo,7.7,https://www.imdb.com//title/tt0876563/
Kimi no na wa.,8.4,https://www.imdb.com//title/tt5311514/
Majo no takkyûbin,7.9,https://www.imdb.com//title/tt0097814/
Kari-gurashi no Arietti,7.6,https://www.imdb.com//title/tt1568921/
Kurenai no buta,7.7,https://www.imdb.com//title/tt0104652/
Kaze tachinu,7.8,https://www.imdb.com//title/tt2013293/
Papurika,7.7,https://www.imdb.com//title/tt0851578/
Toki o kakeru shôjo,7.8,https://www.imdb.com//title/tt0808506/
Byôsoku 5 senchimêtoru,7.6,https://www.imdb.com//title/tt0983213/
Pâfekuto burû,8,https://www.imdb.com//title/tt0156887/
Mimi wo sumaseba,8,https://www.imdb.com//title/tt0113824/
Cowboy Bebop: Tengoku no tobira,7.9,https://www.imdb.com//title/tt0275277/
Inosensu: Innocence,7.5,https://www.imdb.com//title/tt0347246/
Jûbê ninpûchô,7.9,https://www.imdb.com//title/tt0107692/
Ookami kodomo no Ame to Yuki,8.1,https://www.imdb.com//title/tt2140203/
Kaguyahime no monogatari,8,https://www.imdb.com//title/tt2576852/
Vampire Hunter D: Bloodlust,7.7,https://www.imdb.com//title/tt0216651/
Kokuriko-zaka kara,7.4,https://www.imdb.com//title/tt1798188/
Tôkyô goddofâzâzu,7.8,https://www.imdb.com//title/tt0388473/
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,https://www.imdb.com//title/tt0169858/
Omoide no Mânî,7.7,https://www.imdb.com//title/tt3398268/
Samâ uôzu,7.5,https://www.imdb.com//title/tt1474276/
Koto no ha no niwa,7.5,https://www.imdb.com//title/tt2591814/
Rupan sansei: Kariosutoro no shiro,7.7,https://www.imdb.com//title/tt0079833/
Sennen joyû,7.9,https://www.imdb.com//title/tt0291350/
Omohide poro poro,7.7,https://www.imdb.com//title/tt0102587/
Koe no katachi,8.2,https://www.imdb.com//title/tt5323662/
Evangelion Shin Gekijôban: Jo,7.7,https://www.imdb.com//title/tt0923811/
Bakemono no ko,7.7,https://www.imdb.com//title/tt4272866/
Memorîzu,7.6,https://www.imdb.com//title/tt0113799/
Evangerion shin gekijôban: Ha,8,https://www.imdb.com//title/tt0860906/
Jin-Rô,7.4,https://www.imdb.com//title/tt0193253/
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,https://www.imdb.com//title/tt0368667/
Stranger: Mukô hadan,7.8,https://www.imdb.com//title/tt1121794/
Kôkaku kidôtai 2.0,8,https://www.imdb.com//title/tt1260502/
Tekkon kinkurîto,7.6,https://www.imdb.com//title/tt0831888/
Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono,7.4,https://www.imdb.com//title/tt0485323/
Shin seiki Evangelion Gekijô-ban: Shito shinsei,7.5,https://www.imdb.com//title/tt0169880/
Tsumiki no ie,8.3,https://www.imdb.com//title/tt1361566/
The Last: Naruto the Movie,7.6,https://www.imdb.com//title/tt3717532/
Redline,7.5,https://www.imdb.com//title/tt1483797/
Hotarubi no mori e,7.9,https://www.imdb.com//title/tt2061702/
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.6,https://www.imdb.com//title/tt2210479/
Dragon Ball Z: Fukkatsu no Fusion!! Gokuu to Vegeta,7.7,https://www.imdb.com//title/tt0142236/
Dragon Ball Z: Moetsukiro!! Nessen Ressen Chô-Gekisen,7.5,https://www.imdb.com//title/tt0142242/
Mind Game,7.8,https://www.imdb.com//title/tt0452039/
Berserk: Ougon jidai-hen II - Dorudorei koryaku,7.8,https://www.imdb.com//title/tt2358911/
Dragon Ball Z: Ryûken Bakuhatsu!! Gokû ga Yaraneba Dare ga Yaru,7.5,https://www.imdb.com//title/tt0142243/
Boruto: Naruto the Movie,7.9,https://www.imdb.com//title/tt4618398/
Hadashi no Gen,8,https://www.imdb.com//title/tt0085218/
Berserk: Ougon jidai-hen III - Kourin,7.9,https://www.imdb.com//title/tt2358913/
Kôkaku kidôtai: Stand Alone Complex Solid State Society,8,https://www.imdb.com//title/tt0856797/
Kid's Story,7.6,https://www.imdb.com//title/tt0368574/
O Menino e o Mundo,7.6,https://www.imdb.com//title/tt3183630/
The Second Renaissance Part I,8.1,https://www.imdb.com//title/tt0366179/
Suzumiya Haruhi no shôshitsu,8.1,https://www.imdb.com//title/tt1572781/
The Second Renaissance Part II,8.1,https://www.imdb.com//title/tt0368575/
One Piece Film Z,7.9,https://www.imdb.com//title/tt2375379/
Tenshi no tamago,7.6,https://www.imdb.com//title/tt0208502/
Road to Ninja: Naruto the Movie,7.7,https://www.imdb.com//title/tt2290828/
A Detective Story,7.7,https://www.imdb.com//title/tt0366177/
Beyond,7.8,https://www.imdb.com//title/tt0372764/
Trigun: Badlands Rumble,7.5,https://www.imdb.com//title/tt1703049/
Kono sekai no katasumi ni,7.8,https://www.imdb.com//title/tt4769824/
Dragon Ball Z Special: Zetsubô e no Hankô!! Nokosareta Chô Senshi - Gohan to Trunks,7.9,https://www.imdb.com//title/tt0142247/
Nekojiru-sô,7.7,https://www.imdb.com//title/tt0385586/
Dragon Ball Z Special: Tatta Hitori no Saishû Kessen ~Freeza ni Idonda Z Senshi Son Gokû no Chichi~,7.9,https://www.imdb.com//title/tt0142245/
Karafuru,7.4,https://www.imdb.com//title/tt1677561/
Gekijouban Steins;Gate: Fuka ryouiki no dejavu,7.9,https://www.imdb.com//title/tt2967286/
Wan pisu firumu: sutorongu warudo,7.6,https://www.imdb.com//title/tt1485763/
Chage & Aska: On Your Mark,7.6,https://www.imdb.com//title/tt0114038/
Kidô keisatsu patorebâ: The Movie 2,7.6,https://www.imdb.com//title/tt0124770/
Gunnm,7.3,https://www.imdb.com//title/tt0107061/
Chôjikû Yôsai Macross: Ai Oboeteimasuka,7.8,https://www.imdb.com//title/tt0087660/
Gekijouban Mahou shojo Madoka magika Shinpen: Hangyaku no monogatari,7.7,https://www.imdb.com//title/tt2457282/
Kôkaku kidôtai: S.A.C. 2nd GIG - Individual eleven,8.4,https://www.imdb.com//title/tt1024214/
Shin Kido Senki Gundam Wing Endless Waltz,7.9,https://www.imdb.com//title/tt0260191/
Rurôni Kenshin: Ishin shishi e no Requiem,7.5,https://www.imdb.com//title/tt0184872/
Gekijô-ban - Bishôjo senshi Sêrâ Mûn R,7.8,https://www.imdb.com//title/tt0106417/
Inuyasha - Toki wo Koeru Omoi,7.4,https://www.imdb.com//title/tt0322645/
Meitantei Conan: Bekâ Sutorîto no bôrei,7.8,https://www.imdb.com//title/tt0990372/
Comet in Moominland,7.7,https://www.imdb.com//title/tt0240425/
Inuyasha - Tenka hadou no ken,7.8,https://www.imdb.com//title/tt0396659/
Ginga tetsudô Three-Nine,7.4,https://www.imdb.com//title/tt0080772/
Inuyasha - Kagami no naka no mugenjou,7.5,https://www.imdb.com//title/tt0366621/
Gekijouban Bleach: Jigokuhen,7.4,https://www.imdb.com//title/tt1785394/
Meitantei Conan: Hitomi no naka no ansatsusha,7.6,https://www.imdb.com//title/tt1068773/
Space Adventure Cobra,7.4,https://www.imdb.com//title/tt0163494/
Urusei Yatsura 2: Byûtifuru dorîmâ,7.5,https://www.imdb.com//title/tt0088334/
Gekijô-ban - Bishôjo senshi Sêrâ Mûn S,7.8,https://www.imdb.com//title/tt0109277/
Kôkaku kidôtai: Stand alone complex - The laughing man,8.3,https://www.imdb.com//title/tt1024215/
